1_topic,1_weight,2_topic,2_weight,3_topic,3_weight,4_topic,4_weight
야구,0.050150316,결제,0.063445066,자막,0.07236445,화면,0.046217502
화질,0.039538461,돈,0.04024388,영화,0.039102572,불편,0.03373306
시청,0.038265041,로그인,0.039183872,드라마,0.033059905,재생,0.03299123
경기,0.032131019,회원,0.024211541,컨텐츠,0.024879619,업데이트,0.032578969
팀,0.031150647,가입,0.020791253,확인,0.019233686,영상,0.025153709
중계,0.027054845,오류,0.01984176,설정,0.01697129,시청,0.016139107
실시간,0.021093475,구매,0.017514822,시즌,0.013274964,연동,0.016026912
동시,0.021045629,구독,0.015512427,콘텐츠,0.012014519,티비,0.015483999
확인,0.020942754,환불,0.013421303,배속,0.010671882,문제,0.01260909
방송,0.016578808,인증,0.013202392,불편,0.01043829,개선,0.012497128
가능,0.014715071,무료,0.012150656,추가,0.010269627,회차,0.012274421
채널,0.013024037,취소,0.011651239,작품,0.010086163,오류,0.011010487
편리,0.012169467,해지,0.011110822,예능,0.008446949,조절,0.010378334
설정,0.011877279,고객,0.010173835,영상,0.007948358,버튼,0.009567241
최고,0.011851062,확인,0.00933851,시리즈,0.007924438,앱,0.009399279
오디오,0.011436084,번호,0.008882675,업데이트,0.007768899,폰,0.009169912
응원,0.011133429,계정,0.008801521,번역,0.007327544,삭제,0.009168962
프로그램,0.010129163,플레이,0.008514972,영어,0.00722706,설치,0.009058887
라이브,0.008867827,성인,0.007873938,한국어,0.006557257,확인,0.008843924
화면,0.008591092,유료,0.00781004,프로그램,0.006487142,로딩,0.008841323
