,word,BERT,Electra,BERT_pos,Electra_pos
0,가능,1.0,0.0,33.50051440329218,25.0
1,가입,0.0,0.0,17.934782608695656,37.5
2,개선,0.0,0.0,23.440000000000005,37.5
3,결제,0.0,0.0,11.891279728199322,21.052631578947363
4,경기,0.0,1.0,78.4,95.0
5,계정,1.0,0.0,10.638297872340424,20.68965517241379
6,고객,1.0,1.0,12.844036697247702,30.76923076923077
7,구독,1.0,0.0,16.797900262467195,23.076923076923073
8,구매,1.0,0.0,13.712374581939798,18.181818181818176
9,돈,0.0,0.0,16.603053435114504,16.666666666666664
10,동시,0.0,0.0,76.0,46.15384615384615
11,드라마,1.0,0.0,67.49341527655838,58.33333333333333
12,라이브,1.0,0.0,64.77790432801822,50.0
13,로그인,0.0,0.0,10.955914447839369,15.789473684210527
14,로딩,1.0,0.0,15.197255574614069,0.0
15,무료,0.0,0.0,25.54179566563467,16.666666666666664
16,문제,0.0,1.0,19.41331575477917,7.692307692307679
17,방송,0.0,0.0,71.98646986469865,35.0
18,배속,0.0,0.0,23.117960877296973,60.869565217391305
19,버튼,0.0,0.0,17.896440129449843,22.22222222222222
20,번역,1.0,0.0,37.62071992976295,33.333333333333336
21,번호,0.0,0.0,9.157509157509153,14.285714285714285
22,불편,0.0,0.0,22.020867655134545,26.923076923076923
23,삭제,0.0,0.0,11.97604790419161,0.0
24,설정,0.0,1.0,14.468085106382972,0.0
25,설치,0.0,1.0,16.076533978447323,0.0
26,성인,1.0,0.0,16.59751037344398,17.647058823529413
27,시리즈,1.0,0.0,66.4504971897968,44.44444444444444
28,시즌,1.0,0.0,74.85276796230859,50.0
29,시청,0.0,0.0,49.1478834524464,59.25925925925925
30,실시간,0.0,0.0,73.31723513431935,35.29411764705882
31,앱,0.0,0.0,19.719799101242398,0.0
32,야구,0.0,0.0,69.98527245949927,66.66666666666666
33,업데이트,1.0,1.0,26.780764131613836,22.22222222222222
34,연동,1.0,1.0,21.62818955042527,7.142857142857139
35,영상,0.0,0.0,20.29060716139076,35.71428571428571
36,영어,0.0,0.0,28.16229116945107,33.333333333333336
37,영화,0.0,0.0,66.84813753581662,50.0
38,예능,0.0,1.0,68.0,50.0
39,오디오,1.0,1.0,39.40256045519203,65.51724137931033
40,오류,0.0,1.0,11.915438821268417,12.0
41,유료,0.0,1.0,31.8298308559713,29.03225806451613
42,응원,1.0,1.0,61.03896103896104,50.0
43,인증,1.0,0.0,14.937759336099582,11.764705882352942
44,자막,0.0,0.0,19.75190839694656,29.166666666666664
45,작품,1.0,0.0,65.61598681499794,40.90909090909091
46,재생,1.0,1.0,17.552045944005748,50.0
47,조절,0.0,0.0,16.17250673854447,48.0
48,중계,0.0,0.0,73.84370015948963,64.51612903225806
49,채널,0.0,0.0,70.01239157372987,59.99999999999999
50,최고,1.0,1.0,63.47348798674399,41.66666666666667
51,추가,1.0,0.0,53.03261200853399,50.0
52,취소,0.0,0.0,11.68341708542713,25.0
53,컨텐츠,1.0,0.0,63.43886462882096,62.5
54,콘텐츠,1.0,1.0,66.2530612244898,61.53846153846154
55,티비,0.0,0.0,27.557411273486434,30.000000000000004
56,팀,0.0,0.0,82.60292164674635,100.0
57,편리,1.0,0.0,62.421839255757206,31.03448275862069
58,폰,0.0,0.0,21.038183179435983,0.0
59,프로그램,0.0,0.0,62.612612612612615,66.66666666666666
60,플레이,0.0,0.0,22.311897943243945,0.0
61,한국어,1.0,0.0,31.454196028187063,36.0
62,해지,0.0,0.0,12.974683544303794,19.999999999999996
63,화면,0.0,0.0,18.541885734314757,19.999999999999996
64,화질,0.0,0.0,71.91539365452408,78.94736842105263
65,확인,0.0,0.0,51.93848354792561,35.71428571428571
66,환불,0.0,0.0,12.114285714285714,18.181818181818176
67,회원,1.0,0.0,17.105263157894733,50.0
68,회차,1.0,0.0,41.49659863945578,45.45454545454545
