,0
25,쿠팡 아이디 로그인이 안됩니다. 쓰지말란 뜻.
26,축구볼려고 로그인 하려는데 왜 로그인 안됨? 아 개짜증나
27,이걸 쓰라고 만든거냐? 와우멤버십을 왜 가입하고 이용해야되는데 회원가입 했으면 그만이잖아ㅡㅡ
28,와우 멤버십 가입이 안되네요. 가입 조차 안되니 뭘 해볼수가 없어요. 시스템이 많이 실망스럽네요.
29,아니 능력 안되면 중계 독점을 하지 말던가 멤버십 30일 버튼 하나 안눌려서 깔았다 지웠다 쿠키삭제했다 하다가 결국 쓰지도 않는 쿠팡 다운 받아서 우회로 멤버십 가입했네 ㅋㅋㅋㅋ 어이가 없습니다 진짜 테스트도 안해요?
30,계정관리 할때 핀번호가 안먹히네요.. 답답해서 포기~~ 하나하나 수정해 가시겠죠? 오류 수정 부탁드려요
31,축구를 볼수있어요
32,티빙 회원 탈퇴좀 해주세요!!지금 티빙 아이디하구 비번을 몰라서 시청할수가 없네요...아무리 찾아도 찾을수가 없어요...다시 가입 하더라도 일단 탈퇴좀 해주시면 감하겠습니다...
33,가입하려는데 비밀번호 입력을 해도 안된다네요 사람 차별하는것도 아니고... 돈도 비싸고 로그인도 안되네요...
34,"몇번이나 아이디, 비번 입럭했는데 도돌이표네요. ㅜ"
35,디즈니 결제 까지 다하고 계정을 바꿀려고 하는데 계정 아이디가 틀려서 모르는 사람 계정으로 로그인이 됐는데 바꿀려고 했더니 지메일에서 인증번호를 받아야되는데 모르는 사람 계정이라 못바꾸는 상황 이네요 이것좀 개선해주시면 좋을거 같네요 돈은 나가서 어쩔수가 없는 상황이고 좀 당황스럽네요.
36,볼만한건 다 유료
37,회원 탈퇴를 너무 어렵게 해놨네요. 어플에서도 pc에서도 도저히 찾을수가 없어요. 어떻게 하는거죠?
38,가입하고 2일사용했는데 갑자기 계속 오류코드73 뜨면서 접속이 안됩니다
39,네이버 결제 먹튀 연동 안돼고 해지부탁
40,축구 중계 너무 끊기고 화질도 너무 안좋습니다.. 해결 좀 해주세요ㅠㅠ
41,"이사하고 TV변경해서 등록했는데 아이디 비번을 수십번 반복해도 로그인 되지 않고 이메일, 전화번호, 카드번호 전부 눌러서 확인하고 이메일 로 보낸다고 계속 뜨는데 이메일에는 답변오지 않네요 취소도 못하겠네요"
42,"계정을 많이 추가할수 있어서 좋고, 각자의 취향대로잘 골라주네여"
43,회원가입하는데 시스템오류가 떠서 회원가입이 안되요 최악이네요 시스템오류 문제좀 빨리 개선해주세요.
44,항상 잼있게 보고있는데 애플 아이디 로그인 오류가 떠서 접속이 안돼요..해결좀 부탁드립니다!
45,도대체가 앱 로그인은 어떡하면 끝나는가
46,22일 어제 티비보고있었는데 갑자기 로딩중으로 뜨면서 화면이 정지되어서 앱종료하고 다시 들어갔더니 아이디를 다시 로그인하라고 하는데 로그인이 안됩니다. 앱삭제하고 다시 깔았는데도 안돼요.뭘 어떻게 해야되나요?
47,무료라서 좋아요
