,0
25,광고가너무길고 재생시마다 광고를봐야하니짜증나네요
26,광고 장난 아님 ㅎㅎ
27,회원가입하고 와우멤버쉽 가입하기 누르면 먹통됨 뭘 보라는건지 말라는건지 모르겠음
28,넘넘 좋고 유용해요~^^
29,아니 왜 계속 구독만 뜨는건지 아이디로 결제했는데두 돈내구 볼수가 없네 3명이 같이보는데 내기기만 안되네 갤21+인데 뭐가문제냐
30,결재 했는데 액세스 권한 없다고 인증을 못하고 있네요 환불해 주세요
31,아니 사이트에서는 앱으로 가라하고 앱은 사이트로 가라하 에라이
32,어플로 영상 재생하는데 5분마다 자꾸 자동으로 나가져요
33,멤버쉽 가입에서 뒤로 안넘어가네요
34,결제 전에도 검색이 가능하게 되었으면 좋겠습니다. 뭐가 있는지 알아야 결제를 하니까요. 뭐가 있든 간에 일단 결제부터 하라는건 좀.. 부담스럽네요ㅎㅎ
35,"!!!!!!개선요청!!!!!! 1. 재생중인 목록 삭제 기능 2. 다음화로 바로 넘어가기 기능(엔딩크레딧까지 봐야 다음화로 넘어가도록 버튼이 설계되어 있음) 3. 자막 크기, 배경 투명도 75% 설정 기능 ------------일단 이 정도"
36,쓰레기수준의 앱
37,무료 체험 기간은 없나요 ?
38,탈퇴 메뉴얼좀 만들어주세요
39,회원가입 그지 같이 안 되네
40,와우 멤버십 30일 무료체험를 사용하려고 해도 사용이 안되네요..
41,광고는 오지게 하더니 이게 뭐람;
42,아니 왜 계정 등록이 안되나요. 네이버나 카카오 계정 연동을 하면 죄송합니다. 문구 딱 뜨고 그담엔 뭐~ 이유라도 설명을 해야할거 아니에요. 죄송합니다. 만 써있으면 뭘 어쩌라는건지.
43,가입하고도 이용할 수 없는 어플이라니.... 와우회원이 뭔지 저기서 넘어가질 않네요 ㅋㅋㅋㅋ
44,환불 요청했더니 하루 기다려서 온 답변이 환불 불가..ㅋㅋㅋ 48시간 지나서 환불 요청했나 비번 잃어버렸는데 비번 찾지도 못하고 사용을 못하는데 환불을 안해주면 어떡합니까. 넷플릭스 만으로도 충분해요. 영어 못하는 제가 들어도 번역 이상한거 진짜 많고요. 볼건 진짜 없어요ㅡ
45,축구보려고 가입했는데 축구 중계를 안함
46,무료는 개뿔 복잡하계 해나가지고는 결국 결제 처하라는것 잖아 그딴식으로 운영하지 말아라 별점 한개도 아깝다 쿠팡 처망해라
47,첫 가입자 입니다 와우무료30일 눌러도눌러도 않돼요!! 머죠?
48,생각보다 볼거리가 풍부합니다!!! 다른어플에는 지상파 옛날영상찾기가 힘든데 웨이브에서는 지상파방송중 옛영상도 많고 이용권구매하면 웨이비영화관 영화들도 무료고 참 좋은것같아요!! 심지어!!!!!! 옛날영화만있는것도 아니고 요즘영화도있고 제가조아할법한 영화들만 있는것같아 매우즐겁게 시청하고있습니다!! 즐거움을 웨이브에서 찾은것같아 매우행복하네요^^
49,이걸 쓰라고 만든거냐? 와우멤버십을 왜 가입하고 이용해야되는데 회원가입 했으면 그만이잖아ㅡㅡ
50,"제가 마블 팬이라서 곧 바로 가입했습니다 ^^ 
너무 좋습니다. 앞으로 기대가 큽니다. 그리고 혹시 
마블 영화 경우 한국 기준 개봉 며칠이내 업로드 될 예정이신가요? 보름? 아니면 1달 후 ?"
51,마블 덕후로서 너무너무 좋은데요ㅠㅠ 다른앱들과 비교했을때 눈에 띄는 불편한점이 두 가지 있어요! 앱 자체에서 화면밝기 조정이 가능했으면 좋겠고 화면잠금기능도 있으면 더 편리하게 이용 가능할 것 같아요ㅎㅎ
52,"너무 만족하지만 가끔씩 자막 싱크가 안맞네요.
얼른 개선해주셨으면 하고 뉴스 기사에는 위대한 쇼맨도 나온다더니 왜 없나요ㅠ"
53,"Cj emm 티빙을 월드컵 때문에 가입 ㅆ는데, 쿠팡이 월드컵 중계 독점. 정 떨어짐."
54,와우 멤버십 가입이 안되네요. 가입 조차 안되니 뭘 해볼수가 없어요. 시스템이 많이 실망스럽네요.
55,아니 능력 안되면 중계 독점을 하지 말던가 멤버십 30일 버튼 하나 안눌려서 깔았다 지웠다 쿠키삭제했다 하다가 결국 쓰지도 않는 쿠팡 다운 받아서 우회로 멤버십 가입했네 ㅋㅋㅋㅋ 어이가 없습니다 진짜 테스트도 안해요?
56,사기 결제앱.. 시청 안됨
57,잘못 결재해서 횐불 요청 했는데 안된다고 하네요.이런 양아치들
58,광고 넘 마니뜸 전화와서 다시보려면 또광고 진짜 이건아니지않나요? 광고시간좀 짧게해주던가
59,축구를 볼수있어요
60,결제 단계에서 오류가 자꾸 뜨네요. 카드정보 입력해도 계좌정보 입력해도 다안되네요 ㅋ
61,광고 때문에 짜증나지만 그래도 좋다
62,돈을 내고 결제했는데 실시간 시청은 또 돈을 내야함 ㅋㅋ 그럴꺼면 축구 중계권 갖고가질 마시지
63,지난방송 보기 유료는 이해하겠는데 실시간은 도대체 왜 유료화된거죠...? 다른 앱들은 실시간은 걍 보여주는데 왜.....? 도대체 왜죠...🤦‍♀️이해가 안되네
64,짱
65,요금 개비싸게 받네 미친
66,좋아요!채널도 많고 지상파채널은 다 여기서 보면 되네요!
67,무료컨텐츠앱을 써봤었는데 늘 실망하고 지웠었는데요 혹시나 했는데.. 무료제공에 이정도면 만족합니다
68,쿠퐁 화이팅
69,가입하려는데 비밀번호 입력을 해도 안된다네요 사람 차별하는것도 아니고... 돈도 비싸고 로그인도 안되네요...
70,화이링~~~~~츠하
71,이 놈들은 돈에 환장한 놈들인가? 실시간 방송도 돈을 받는다? 안 보고 말지...
72,축구경기 라이브로 보고 있는데 중간 중간 화질이 자동으로 저하 되다 다시 원상태로 돌아오고 그러던데 정상인건가요? 한 1분 마다 한번씩 그러네요ㅜ
73,양심없는 세끼 ㅋㅋ
74,"방송/영화 볼거리가 많고, 사용성도 편리해서 자주 이용합니다"
75,"스포츠 무료라면서, 회원가입 해야 보여준다는건 사기 아닌가요?"
76,볼만한건 다 유료
77,회원 탈퇴를 너무 어렵게 해놨네요. 어플에서도 pc에서도 도저히 찾을수가 없어요. 어떻게 하는거죠?
78,업뎃후 초기화묜에서 안 넘어감 돈내놔라 이놈드라
79,가격 인상
80,드디어 저도 씁니다 좋네요!! 근데… 배속 제발요 배속.. 배속 플리즈… 제발…ㅜㅜ
81,"티빙 프리미엄 이용하려는데 왜 가족 전체가 이용이 어려운지요,,?? 전화 문의가 안되서 답답합니다. 1:1 문의로 몇번이나 물어봤지만 이미 알고 있는 4명까지 이용할 수 있단거만 알려주시네요,,, 동시 다른기기 접속할 수 있는 방법 순서대로 알려주세요;"
82,광고 천국 Wavve
83,가입하고 2일사용했는데 갑자기 계속 오류코드73 뜨면서 접속이 안됩니다
84,네이버 결제 먹튀 연동 안돼고 해지부탁
85,축구 중계 너무 끊기고 화질도 너무 안좋습니다.. 해결 좀 해주세요ㅠㅠ
86,"로켓와우 회원 진짜 할만한듯 ㅋㅋㅋㅋ
쿠팡최고"
