,0
72,라디오 들을때 핸드폰 화면 꺼지면 종료되는데 넘 불편해요 주머니에 핸드폰 넣고 들을수 있도록 개선해주세요
73,굳
74,하이큐 다음화 언제 나오나요..;;
75,굳
76,왜?언제부턴인가 실시간도 무조건 구매해야하는지 실시간인데....넘 하네.
77,뻐스승차시간
78,실시간도 유료야
79,시청기록 남게 해주세요. 저번에 본 콘텐츠 찾으려면 다시 또 검색해서 봐야 하네요.. 불편합니다
80,전체관람가 영화에 한국어 오디오가 없는게 많아요 아직 자막 읽기 힘든 어린아이들 위해 한국어 오디오를 많이 도입해 주세요 타 ott서비스에는 전체관람가 영화에 한국어 오디오가 많습니다
81,실시간을 유료로 보는 사람이 어디있어요!!아니 M net 실시간 보려고 했는데 유료라고 구매해야 볼 수 있다고
82,"뭐다 눌러도 유료. 미리보기도 안되고 뭐 좀 봐야 결제를 하든 말든지 할텐데 무조건 돈내라고 하니 원...참 ㅡㅡ;; ocn 하나 때문에 좀 볼까 했는데. 안봐도 되겠네 집에서 TV로 보지 뭐.. 재방송으로... 돈 아깝다 월 결제하기에는.. 웨이브, 넥플리스 보다 못한 어플인것 같네여. 실망이큼 심지여 쿠팡플레이 보다 못하네요. 바로 탈퇴 및 삭제합니다. 다신 안함. 위에 실시간 빼세요.돈내야만 실시간이지..좀 맞보기 있어야 결제하지..구매욕구 안생기는 어플"
83,하이큐가 3기까지밖에 없는데 4기도 보고싶어요 찾아보니까 다른 많은분들도 4기 찾고잇더라구요 다 좋은데 3기끝나고 볼게없어졌어요ㅠㅠ
84,실시간 보기에 작작좀 광고넣었음 좋겠다만.. 내돈내고 쓰는데 먼노므 추가(반복)광고가 이리 많은거지?
85,실시간 채널은 왜 우상단 끄트머리에 쪼~그만하게 해놓은건지.. 실시간 채널하고 다시보기만 나오던 옛버전이 좋았다.. 뱁새가 쓸데없이 오리지날 컨텐츠 만든다고 재미도 없는것 만들어도 황새같은 넷플릭스에 컨텐츠를 맞먹을것같진 않은데...
86,화질 구데기 설정도 복잡함
87,라디오스타랑 전지적참견시점도  올려주시면 안될까요 ㅠㅠ 너무 보고싶어요
88,오디오에 왜 한국어는 없눈거죠..? 저 더빙으로 보고싶어요 있을텐데 한번 힘 좀 써보십쇼...
89,최고입니다~~^^
90,화질도 좋고...볼것이 많네요~^0^
91,하이큐 4기 보고싶어서 2주동안 1 2 3기 정주행했는데요 4기 없는거 보고 개 얼탱없어서 왓챠 결제해서 봤습니다… 진짜 기절 제발 추가점 해주세요 추가해주시면 5점..
92,관심 콘텐츠 추가했는데 바로 안보여서 뭐지? 했는데 프로필을 누르고 관심 컨텐츠를 눌러야 볼 수가 있는데 진짜 짜증남 두 번 클릭하게 하지 말고 내가 보고 싶은 것들은 바로 홈에서 뜰 수 있게 해줬으면;; 그리고 오디오는 좀 고정을 해놓을 수 없나?? 자막은 한국어로 고정되는데 오디오는 뭔 ;; 틀 때마다 색다른 언어로 말하냐... 콩고어였다가 갑자기 중국어였다가;; 매번 틀어서 바꾸기 귀찮으니까 설정에서 오디오 언어 고정좀 해놨으면 좋겠음 진짜
93,다른건 좋은데 왜 심야괴담회 프로는 없는건가요? 올려주세요 볼거리가 많아좋은데 저프로가없네요
94,화질을 고화질로 바꿔도 계속안좋아요
95,최고입니다
96,만족스럽네요
97,실시간방송 렉걸림 심해요 일분마다 계속 1초전으로 돌아가 두세번씩 재생됨.. 재생기기를 변경해도 똑같아요 다른 영상앱도 많이 이용하는데 이런건 첨봐요
98,우주패스로 웨이브라이트 이용으로 들어옴. 근데 막상 볼수있는게 없네요. 다 이용권결제하라그러고... 라이트 유저 존을 따로 만들어주던지... 우주패스고 나발이고 어플 삭제했습니다.
99,심슨 보려고 하는데 왜 안되는 건가요?? 시청제한 설정 한적도 없는데 키즈 계정도 아니구요
100,만족하네요
101,만족
102,굳
103,매우만족
104,화질도좋고 보기 편합니다.
105,최고♡할렐루아♡ 아멘
106,라이트로 볼 수 없는 게 많은 거 치고 비싸요 모프로를 보는 게 가입이유였는데 취소합니다
107,화질 자막 모든면에서 좋은데? 사람들 비판하는거 이해가안가네 ㅋㅋ
108,시청중인 콘덴츠에 보지도 않는 시리즈물이 계속 표시되네요. 목록에서 삭제할 수 없나요? 시리즈물이 나올때마다 계속 올라오네요. 재미없어서 보고 싶지 않은데 목록에 계속 표시되어 상당히 불편하네요.
109,최고로 재미 있고 좋아요
110,최고
111,snl 보려했는데 알아보니까 여기서만 돈내고 볼수 있는건데 하이라이트 때문에 틱톡 난리인데 그럼 그 잼민들은 어쩌라고 ㅋㅋ
112,"최고 비싼 등급인데 어찌 이런단말인가
대체 생각이 있는건가? 이런 저런 설정 다 해봐도
마음에 안든다…. 유툽보다 못하면 어쩌냐고요"
113,실시간
114,"관심콘텐츠 한번에 볼 수 있게 해주시면 안될까요?
맨날 프로필 들어갔다가 관심콘텐츠 눌러야해서 불편해요"
115,넷플최고
116,갑자기 잘되다가 들어가지지도 않네요 내돈내고 보는대도..조취를 좀 취해주시죠 ..
117,영상관련 오류가 너무 잦아요.
118,최고의 ott 서비스
