,0
32,"근데 없네요, 다크윙 덕, 칩과 데일은 왜 저렇게 만들어 둔건디, 곰돌이 푸 이런거 하나도 없습니다
거기다가 결제 안하면 뭐가 있는지도 확인 안되게 해뒀습니다 이거 거의 사기 아닙니까?"
33,"pip모드로 영상보다가
전체로돌아가면 프로필화면으로 넘어가네요
ios최신버젼에 맞춰 업데이트 부탁드립니다"
34,어릴적 나왔던 것들도 보이고 많이 기대가 됩니다
35,뒤로가기 버튼이나 닫기 버튼이 안눌려요. 그리고 한글자막으로 개선 시 자막이 화면 반을 가립니다. 웹에선 자막크기를 조절할 수 있던데 이 부분만 개선 되었음 좋겠습니다.
36,굿 말이 필요 없음
37,"역시 콘텐츠양이 엄청나네요
구독료도 넷플보다 훨 싸고
기대됩니다!!"
38,오래 기다렸어요.
39,"What if 볼라고 돈냈는데
What if없음"
40,로고만 뜨고 그 뒤로는 아무것도 안뜸
41,개선 부탁합니다
42,감사합니다 감사합니다
43,"이야 함께 즐겨요 디즈니 플러스
드디어 스포에서 해방되어 내 눈으로 확인가능
즐김들😘"
44,아케인 기다리고 있는데 언제 나오나요? 13일인데 12시 땡하면 나와줘야하는 거 아닌가요? 이렇게 된다면 공개 시간까지 알려주세요. 제발 마음 편히 잠자게요.
45,밀리터리 영화 더 넣어주세요
46,아케인땜에 결제를 안할수가없다 출발
47,좋아요 좋아요 좋아요 응 좋아요
48,스타워즈 시리즈 마블 시리즈 디즈니 프린세스 픽사 작품 내셔널 지오그래픽 등등 너무 많다
49,"화면 슬라이드로 볼륨 조절 밝기조절,
ㅠㅠ빠른재생(1.5배, 3배) 기능이 없는게 너무 불편해요
첫 홈 화면에 카테고리 바가 있으면 편할거같아요.
(드라마 영화 애니메이션 등)"
50,라고 말할 수 있게 좋은 컨텐츠 기대합니다
51,시청기록 지우는 것도 추가하면 좋을 것 같아요
52,다양한거 볼수 있어 좋네요 영상재생만 조금 고쳐졌으면 좋겠어요
53,내셔널지오그래픽을 풀로 볼 수 있다니....
54,완다비전 로키 팔콘앤윈터솔저 등등 마블드라마도 실컷보고있고 디즈니 영화도 제공해줘서 좋네요! 무엇보다 한국어패치 너무 좋네요
55,너무 좋습니다
56,"그릅워치 할시 어플로 넘어가는게 아니라 웹으로 넘어가게 되는데, 모바일로 하는사람들은 같이보기가 아직 실행이 안됨. 빨리해결해줘야할듯"
57,스타워즈 컨텐츠 미쳤네요ㅠㅜ
58,"다운받았는데 화면 버튼 텍스트랑 이미지가 안보여요..
아이폰 11 사용중입니다"
59,드림웍스 화이팅
60,핸드폰 앱에서도 자막수정 기능을 넣어주세요
61,아니더라도 필수
62,파란 바만 나오고 눌러보면 동의 하라고 하는데… 또 파란 바만 나오고.. 뭐하라는 거임?
63,기대보다 볼게 별로...
64,디즈니잖아
65,넷플긴장하셔야 하겠어요!
66,돈을 안내면 뭐가 있는지 둘러볼수조차 없다
67,다른앱위에 표시되는 기능이 없어 불편합니다. 이점 개선되면 더 편하게 사용할수 있을것 같아요
68,첫 결제하고 아바타 보고 있음요 다만 장기적으로 볼땐 볼께 없다는게 함정... 일단 한달 시청후 아니면 해제각
69,내셔널지오그래픽!!
70,썸벨리나 우리말 더빙판 제발 넣어주세요
71,항공사고 수사대가 왜 없는건가요?? where is air crash investigation? so disappointing
72,영상 배속조절이 없는게 많이 아쉽네요... 요즘 적용 안되는 프로그램이 거의 없는데~ 진짜 그것만 있으면 완전 좋을거 같아요!!
73,너무 좋음 근데 앱이 쓰레기같음 오늘 오류만 5번에 3번 삭제했다가 다시 까는 중
74,심슨 볼려고 1년구독 넣었음돠 ㅋㅋ 시즌30개 ㅋㅋㅋ...(스타워즈랑 디즈니애니포함)자막이 좀 투박한데 점차 세련되게 개선되길 기대해요.
75,디즈니 콘텐츠야 말해 뭐해요~ 그.런.데.. 어플 이용해 폰으로 시청할때는 불편하네요 어플에 PIP가 적용되어도 팝업창이 안되요 설정하는 다른 방법이 있는건데 제가 모르는건지 모르겠는데 팝업창이 안되다니...많이 불편하네요
76,디즈니 알라뷰
77,GOOD
78,정식 런칭 전에 지들이 받아놓고 별 한개 달아놓은 매크로식 두뇌로 연결된 인간들이 참 많군용
79,엥 왜 구글계정을 맘대로 암 거나 찍어서 결제를 못하게 해놨죠? 돈내고 보겠다는 보지 말라고 하네 ㅋㅋㅋㅋㅋㅋ 앱을 누가 만들었는지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 광고를 몇일째 돈 쏟아부어서 해놓고 결제 테스트도 제대로 안해본건가
80,빅 히어로 시즌1은 없나요?
81,"넘 기대를 많이 해서 그른가 상당히 실망이네요... 배속 안되는건 뭐 안되는 다른 ott 서비스도 많으니까 이해하는데 밝기 조절, 음량조절 이나 자막 크기 조절 같은 간단한 것도 아직은 제공을 하지 않네요... 아직 자막 지원하지 않는 작품들도 꽤 있는것 같고요.. 또 한달 무료 아니 최소한의 2주 무료 이용조차도 없는게 불친절하고 결제를 해야지 무슨컨텐츠들이 있는지 둘러볼수 있네요.. 이런것들이 개선되지 않는다면 이번 한달이 마지막 이용이 될것같습니다, 괜히 넷플이 시장 1위겠어요.. 다 이유가 있더라고요. ㅠ ㅠ"
82,운영 이따구로 하지 마세요
83,오늘 잠깐결제해서 봤는데 미드 슈퍼내츄럴 폭스건데도 업로드안됐고 디즈니명작 반절이상이 자막없고 더빙이 대부분이고 볼품없음 준비안된상태에서 런칭한거같음 무료기간을 주는것도아님 디즈니 고객센터 전화해서30분만에 통화됐는데 상담사가 환불해주라는말에 환불된다는 말도 안해줌 절차도 모르고이상한 전화번호 알려주고 구근플레이가서 다시 알아보라고함 오늘 1시간 손해봄 자막 나오는지 체그만하고 아예안봤는데 환불안해주면 방통위나 어디다가 ㄹㅈ 해야하나 무튼 가만히 안있을꺼임
84,너무 악플이 많아서 결제하기도 겁나네..일단 다운은 받아봤는데 들어가자마자 결제요청 ㅋ 넷플도 한달은 맛보라고 무료해주더만 뭐가 그리 대단하시다고 이런지 ㅋ 애때문에 바로해줄까했는데 그냥 악플 좀 사라질때까지 기다렸다가 생각해볼랍니다 ㅋ
85,출시돼서 좋긴한데 앱UI가 너무 구림...플레이어에선 기본적인 볼륨 및 밝기조절도 안되고 pip모드도 안돼있고 하여튼 불편한 점이 많음 못보던거 볼수있다는게 최대 장점임..그외에 죄다 별로..
86,일부 컨텐츠가 카테고리 목록에 없는 경우가 있습니다 따로 검색을 하거나 비슷한 컨텐츠 목록으로 찾아들어가야 합니다 예를 들어 '일곱개의 대죄'는 검색을 해야지 찾을 수 있고 카테고리 목록 어디에서도 찾을 수가 없어요 새로운 볼만한 거 둘러볼 때 이런식으로 목록에서 누락된 작품은 아예 볼 기회가 없겠죠
87,첫 가입자입니다. 와우멤버십30일무료체험 버튼을 몇 번을 눌러도 다음으로 진행이 되지 않네요. 앱 지웠다가 다시 설치해도 똑같습니다. 서버가 한번에 몰리는 가입자들을 감당 못해서 이런건지 다른 사람들도 저랑 비슷한 현상을 겪는 것 같습니다. 개선 부탁드립니다. TV조선만 원망스러워지네요
88,앱 만들려면 제대로 만들지 문제를 곤칠생각을 안하고 설치자 잘 못이라고 이래라 저래라 명령이나 하네? 정작 뭐가 문제인지도 모르고. 일 좀 제대로하고 돈 먹어라. 매크로 작작 돌리고. 누가 매크로 돌리는거 못하냐? 제대로된 방법 찾아서 업뎃하고 곤쳐라
89,한국드라마나 한국영화 자막 좀 달아주세요… 안 들리는 대사나 조용히 봐야할 땐 자막이 있어야 하는데 ㅠㅠ 그리고 청각장애인 분들 배려도 좀 해주세요 🥺
90,로켓배송이나 제대로해 뭔 스트리밍서비스야 디즈니 플러스 보러가야지
91,UI가 직관적이고 사용하기 편합니다. 금액도 적당한 편이라고 생각해요. 추천드립니다.
92,몇일전부터 모바일에서 서비스 연결이 지연되고 있다면서 재생이 안됩니다
93,정기결제로 잘 사용하고 있긴한데요..궁굼한게 있는데 왜 TVN은 따로 결제를 해서 봐야 하는건가요? 라이브에도 없잖아요..
94,아무리 처음이라지만 고객센터 채팅도 전화도 20분넘게 연결이 안되네ㅡㅡ 장난하나
95,"디즈니플러스 빨리 보고 싶었는데, 드디어 런칭 되었네요. 감사합니다 ㅎㅎ"
96,인크레더블2 보고 있는데 자막 싱크가 엉망이네요
97,좌우레터박스 안 나오게 화면 비율 지원 부탁드립니다
98,한국드라마컨텐츠 부족
99,km6 tv박스 사용중인데 한국드라마는소리잘나오는데 마블이나외국관련영상은 소리가안나옵니다 해결방법이 있습니까?
100,심슨가족 시즌1 6화부터 자막 싱크가 안맞음 돈주고보는건데 신경좀 써주세요
101,디즈니 콘텐츠 이용이 가능한건 매력적이지만 가족끼리 계정 공유할 때마다 이런저런 렉이 걸려서 귀찮음.
102,알럽 디즈니 알럽 픽사 알럽 몬스터주식회사
103,인크레더블2 보는데 자막 싱크가 안맞네요 돈 내고 보는데 영화 한 편 제대로 못보네요.. 솔직히 실망입니다 그래서 그냥 한국어 더빙으로 본다능..
104,"시청중인 콘텐츠 삭제 기능이 없는것, 시인성 문제 등 타 앱들과 비교했을때 부족한 기능과 시스템이 많이 보입니다. 빠른 개선이 필요할듯합니다."
105,한글 자막 배경이 검은색으로 나와서 짜증나셨죠? 저도 그랬습니다. 디플 앱에서는 설정이 불가능해요. 해결방법이 있습니다. 설정 들어가셔서 자막으로 검색하시면 구글 자막(cc) 뜹니다. 눌러서 배경색 사용안함 설정하고 글씨 크기도 취향에 맞게 설정해주세요. 그럼 즐감 되세요!
106,"콘텐츠는 좋아요. 그렇지만, 배속 기능이랑 보던 영상을 앱 켜자마자 이어볼 수 있는 기능 추가되면 좋겠어요"
107,"심슨, 뮬란 등 제가 좋아했던 만화를 다시 볼 수 있어서 너무 좋아요 하나 아쉬운 점이 있다면 화면에서 소리조절기능이라든지 화면밝기조절기능을 추가해주셨으면 좋겠습니다"
108,내용물은 다 좋은데 모바일에선 유튜브처럼 다른 작업하면서도 볼 수 있게 작은 화면으로 볼 수 있는 기능이 추가되면 더 좋겠어요.
109,오류 때매 이용을 못하겠다 이걸 쓰라고 만들었냐? 넷플릭스보다가 이거 볼라니까 갑갑해 디 지 겠네. 디 지 라고 디지니냐? 성인 인증을하세요 해놓고 인증창이 안떠. 어쩌라고?
110,후발주자인데 기본 기능은 오래 전에 나온 넷플릭스보다 한참 떨어지면서 콘텐츠만 내세우고 배짱장사하는 게 스팀과 에픽 게임즈 관계 같네요. 1. 이미 많이 얘기 나온 자막 문제 2. 디즈니 채널로 더빙된 작품이라고 한국 자막 지원 x. 한국 영화도 cc 지원해주는 넷플릭스랑 천지 차이. 캐리비안의 해적처럼 유명한 작품은 온갖 언어 더빙에 자막 다 지원해준다는 점에서 더 짜증남. 3. 보는 중인 콘텐츠 목록 지울 수 없음 4. 찜한 콘텐츠 항목 들어가기가 불편함 5. 디즈니 극장판 애니메이션 시작하기 전에 나왔던 단편 애니메이션 제목을 기억하기도 어려운데 다 분리해놔서 하나하나 찾아야 함. 자기 전에 앰피비아 보려다가 중국어랑 영어 자막만 있는 거 보고 그냥 넷플릭스 보러 갑니다.
111,대만족
112,"디즈니 주니어에서 하던 소피아공주, 꼬마의사 닥 뭐시기, 리나는 뱀파이어 등등.. 이 어플로 볼 수있나요??"
113,다른 어플을 실행하면서 그 위에서 재생이 안 되는게 너무 아쉽습니다.
114,이거 참 버그 엄청나게 많네요 그중 성인인증도 못하게 하네요 인증번호가 와도 치지를 못하니
115,아니 결제도 하고 보려는데 영상 5초지나고 멈춤.. 지원안되는 기기는 또 아님.. 문제해결가서 다 따라했는데도 지속적으로 에러남. 다른 스트리밍어플들은 잘되는데 디즈니만 안됨 내 한달구독료ㅡㅡ..
116,와우♡♡♡
117,오늘 오픈한 앱이 테스트도 안하고 올리나요. 성인인증 안되는 오류정도는 충분히 확인하고 올려야죠. 실망이네요. 빨리 수정해주세요.
118,만달로니안 보다가 다음화로 넘어가면 자막이 안나오네요.. 자막 한글 설정후 나갔다가 다시들어가야 자막이 나오고..뭐가 문제인지...확인 부탁합니다.
119,컨텐츠는 맘에 드는데 번역상태 왜 이럼? 자막상태도 엉망이고 기기따라 자막이 붕 뜨는 현상도 있음. 유튜브로 런칭기념인지 뭔지 할 시간에 기본은 제대로 하고 하자... 일단 계속 구독은 할껀데 개선 안하면 탈주각임
120,내 티비에서 재생이 안됌 가끔 돼면 느려터짐 결제 취소 고려중
121,"1. 1.25배속, 1.5배속으로 보기 만들어주세요 2. 관심 컨텐츠 항목 홈 화면에서 볼 수 있게 해주세요"
122,경고문을 좀 더 크게해서 정면에 배치하고 영상을 왼쪽상단에 작게 쳐박아버리는건 어떨까요? ㅋㅋㅋ 경고문을 돈받고 파는거 같은데...
123,서비스 품목을 알려면 결제부터 해야합니다 막상 결제하고 원하는 영상이 없다는걸 알고난 그때의 좌절감은... 어릴때보던 디즈니 생각하고 가입하면 원하는게 너무 없다는걸 알게됩니다.. 나의 디즈니는 어디로 간걸까요
124,드디어 나와서 좋긴한데 일부영화(인크레더블2) 볼 때 음성이랑 자막이랑 싱크가 안 맞음 자막이 0.5초 더 빠름 컴터로 보는데 소리를 최대로 키워도 너무 작음 빨리 개선바람
125,아이가 디즈니 애니메이션 좋아해서 1년결제했는데요 왕실탐정 미라는 왜없나요?
126,기사엔 샹치와 텐 링즈 있다던데 없네요 첫판부터 장난질 입니까? 콘테츠도 생각보다 없네요 ㅡㅡ
127,PC 환경에서 자동재생 안되는 문제 언제 고치나요.
128,"미녀와 야수, 캐리비안해적 해설자 자막이 하나도 없네요 원래 없었던거 같은데 영화마다 해설이 다 나오는거 같은데 어떻게 없애는지도 모르겠고 오래전 작품들도 볼 수 있을 줄 알았는데 몇개빼고는 없고 101마리 달마시안이나 신데렐라 등, 전 애들이 예전에 보던 작품들을 보고싶어해서 결제한건데 디즈니 작품은 몇개 없는거 같애요 이름만 디즈니지 디즈니 작품도 몇개 없네요 초!! 비추"
129,야이 썩을 놈들아 가입하고 나서 집에서 좀 볼려고 하니 한시간째 접속오류나서 못보는건 어떻게 할거냐?
130,기본적인 것만 충고합니다. 1) 자막 사이즈 키우세요 2) 키워드 기반 컨텐츠 검색 가능하게 해주세요 3) 자막팀 늘려서 컨텐츠 빨리 늘려주세요
131,왜 이제왔나요 이렇게 꿈잼일걸 난 이제 보네ㅋㅋ 근데 오프닝 건너띄기 다음편 이어보기가 없어서 불편하긴 하지만 딱히 그렇게 큰 지장은 없어요ㅎㅎ
132,"12일 밤 00시 기다려서 바로 가입함. 검색 어려움 볼것 특정 시리즈 말고 별로 없음, 예정작 언제 어디서 나오는지 모름, 자막 검은색 바탕화면 안에 나와서 걸리적 거림..... 왜 넷플이 1위인지 나는 이제 알겠소 반성해라 디즈니 !!!!"
